group,n_ref,ref_mean,ref_std
"(30.0, -8.0, 3)",5,0.21642938,0.007277709
"(30.0, -8.0, 4)",5,0.21066356,0.003949541
"(30.0, -8.0, 5)",5,0.20805466,0.0038150332
"(30.0, -8.0, 6)",5,0.2061322,0.0044869212
"(30.0, -8.0, 7)",5,0.20620255,0.004341083
"(30.0, -8.0, 8)",5,0.20790486,0.0037530712
"(30.0, -8.0, 9)",5,0.21264271,0.0036498543
"(30.0, -8.0, 10)",5,0.21669868,0.0120044565
"(30.0, -8.0, 11)",5,0.22302274,0.013401037
"(30.0, -8.0, 12)",5,0.22446235,0.0121911215
"(30.0, -7.950012, 1)",5,0.21853729,0.0066267797
"(30.0, -7.950012, 2)",5,0.21679601,0.008155742
"(30.0, -7.950012, 3)",5,0.2150341,0.0070069577
"(30.0, -7.950012, 4)",5,0.210089,0.0037488814
"(30.0, -7.950012, 5)",5,0.20770264,0.003421131
"(30.0, -7.950012, 6)",5,0.20587607,0.003938844
"(30.0, -7.950012, 7)",5,0.20591107,0.0038011535
"(30.0, -7.950012, 8)",5,0.20764057,0.0032182927
"(30.0, -7.950012, 9)",5,0.21200815,0.00303451
"(30.0, -7.950012, 10)",5,0.21556032,0.010921704
"(30.0, -7.950012, 11)",5,0.22220226,0.013140716
"(30.0, -7.950012, 12)",5,0.22328997,0.011815875
"(30.0, -7.9000244, 1)",5,0.21723397,0.006460423
"(30.0, -7.9000244, 2)",5,0.21542864,0.007593227
"(30.0, -7.9000244, 3)",5,0.21367979,0.006636299
"(30.0, -7.9000244, 4)",5,0.20929606,0.003585178
"(30.0, -7.9000244, 5)",5,0.2072039,0.0033433198
"(30.0, -7.9000244, 6)",5,0.20560889,0.0035386477
"(30.0, -7.9000244, 7)",5,0.20562287,0.0033905448
"(30.0, -7.9000244, 8)",5,0.20740111,0.002748955
"(30.0, -7.9000244, 9)",5,0.21133003,0.0024687727
"(30.0, -7.9000244, 10)",5,0.21446514,0.009789182
"(30.0, -7.9000244, 11)",5,0.22134665,0.012829094
"(30.0, -7.9000244, 12)",5,0.22201912,0.01123005
"(30.0, -7.8499756, 1)",5,0.21657686,0.00639922
"(30.0, -7.8499756, 2)",5,0.21472847,0.0072209598
"(30.0, -7.8499756, 3)",5,0.21312134,0.0064770877
"(30.0, -7.8499756, 4)",5,0.20873725,0.0034869954
"(30.0, -7.8499756, 5)",5,0.20667753,0.0032536716
"(30.0, -7.8499756, 6)",5,0.20527081,0.0032955292
"(30.0, -7.8499756, 7)",5,0.20522189,0.0031642031
"(30.0, -7.8499756, 8)",5,0.20708375,0.0025297573
"(30.0, -7.8499756, 9)",5,0.21076715,0.0022568852
"(30.0, -7.8499756, 10)",5,0.21386819,0.009524341
"(30.0, -7.8499756, 11)",5,0.22073968,0.012799912
"(30.0, -7.8499756, 12)",5,0.2212712,0.010905937
"(30.0, -7.799988, 1)",5,0.21581487,0.006060466
"(30.0, -7.799988, 2)",5,0.21388423,0.0064766174
"(30.0, -7.799988, 3)",5,0.21259384,0.0060798456
"(30.0, -7.799988, 4)",5,0.20825222,0.0034515157
"(30.0, -7.799988, 5)",5,0.20620835,0.003230029
